Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,Player-additional
Aanen Moody,11,SR,G,6-3,165,Dickinson ND,Dickinson HS,,16.8 Pts 3.4 Reb 2.3 Ast,aanen-moody-1
Dischon Thomas,24,SR,F,6-9,232,Durham NC,Hillcrest Prep,,11.6 Pts 5.4 Reb 1.6 Ast,dischon-thomas-1
Brandon Whitney,12,SR,G,6-1,178,Mission Hills CA,Bishop Alemany HS,,10.3 Pts 2.9 Reb 4.1 Ast,brandon-whitney-1
Josh Vazquez,3,SR,G,6-3,180,Torrance CA,Bishop Montgomery HS,,9.7 Pts 2.6 Reb 1.7 Ast,josh-vazquez-1
Te'Jon Sawyer,32,JR,F,6-8,252,Richmond CA,Salesian Prep,,8.5 Pts 3.1 Reb 0.8 Ast,tejon-sawyer-1
Laolu Oke,21,SR,F,6-8,218,Aurora CO,Overland (CO),,6.9 Pts 7.4 Reb 1.6 Ast,laolu-oke-1
Money Williams,0,FR,G,6-4,200,Oakland CA,Oakland (CA),,13.4 Pts 3.9 Reb 3.3 Ast,money-williams-1
Giordan Williams,4,SR,G,6-3,165,Long Beach CA,Long Beach Poly HS,,3.9 Pts 2.5 Reb 0.5 Ast,giordan-williams-1
Jaxon Nap,5,SO,F,6-7,205,Renton WA,Hazen (WA),,2.5 Pts 1.3 Reb 0.5 Ast,jaxon-nap-1
Chase Henderson,2,FR,G,6-0,165,Des Moines IA,Hoover (IA),,2.6 Pts 0.5 Reb 1.0 Ast,chase-henderson-1
Blake Jones,34,SO,F,6-10,200,Canberra Australia,NBA Global Academy,,1.9 Pts 1.2 Reb 0.4 Ast,blake-jones-2
Connor Dick,23,FR,G,6-3,194,Missoula MT,Hellgate (MT),,0.4 Pts 0.5 Reb 0.1 Ast,connor-dick-1
Caden Bateman,30,SO,F,6-7,200,Missoula MT,Big Sky (MT),,0.6 Pts 0.8 Reb 0.0 Ast,caden-bateman-1
Rhett Reynolds,13,SO,F,6-9,199,Shelby MT,Shelby (MT),,0.5 Pts 0.7 Reb 0.1 Ast,rhett-reynolds-1
Adam Shoff,22,JR,G,6-1,167,Redding CA,Enterprise (CA),,0.0 Pts 0.2 Reb 0.0 Ast,adam-shoff-1
